,Title,Releasing year,Watch Time,Rating,Genre,Votes,Synopsis,Cast,Director
92,Posledniy bogatyr. Koren' Zla,2021,121 min,5.9,"Adventure, Comedy, Family",703,"Peace and tranquility have set in Belogorie. The evil was defeated and Ivan is now enjoying his well-deserved fame. He is surrounded by his family, friends and small wonders from the modern...                See full summary »","['See full summary', 'Dmitriy Dyachenko', 'Viktor Khorinyak', 'Mila Sivatskaya', 'Ekaterina Vilkova', 'Elena Yakovleva']",Dmitriy Dyachenko
93,Juste la fin du monde,2016,97 min,6.9,Drama,"22,208","Louis (Gaspard Ulliel), a terminally ill writer, returns home after a long absence to tell his family that he is dying.","['Gaspard Ulliel', 'Xavier Dolan', 'Gaspard Ulliel', 'Marion Cotillard', 'Léa Seydoux', 'Vincent Cassel']",Xavier Dolan
94,The Nine Lives of Chloe King,2011,441 min,7.1,"Action, Adventure, Crime","10,127",A girl with special cat-like powers is being hunted by an assassin.,"['Skyler Samuels', 'Gracie Gillam', 'Ki Hong Lee', 'Benjamin Stone']",Gracie Gillam
95,A Cinderella Story: Starstruck,2021,96 min,5.5,Romance,362,"Finley Tremaine, a small town farm girl, longs to spread her wings and soar as an aspiring performer. When a Hollywood film crew arrives in her sleepy town, she is determined to land a role...                See full summary »","['See full summary', 'Michelle Johnston', 'Bailee Madison', 'Michael Evans Behling', 'April Telek', 'Lillian Doucet-Roche']",Michelle Johnston
96,North Country,2005,126 min,7.3,Drama,"41,475","A fictionalized account of the first major successful sexual harassment case in the United States, Jenson vs. Eveleth Mines, where a woman who endured a range of abuse while working as a miner filed and won the landmark 1984 lawsuit.","['Niki Caro', 'Charlize Theron', 'Jeremy Renner', 'Frances McDormand', 'Thomas Curtis']",Charlize Theron
97,My Girlfriend Is an Alien,2019,45 min,8.6,"Comedy, Fantasy, Romance","1,163",An intergalactic romance follows an alien girl stuck on planet Earth. She crosses paths with an overbearing CEO who gets amnesia and forgets the opposite sex whenever it rains. Hailing from...                See full summary »,"['See full summary', 'Hsu Thassapak', 'Peng Wan', 'Yue Yang']",Hsu Thassapak
98,Ils,2006,77 min,6.4,"Horror, Thriller","29,925","Lucas and Clementine live peacefully in their isolated country house, but one night they wake up to strange noise... they're not alone... and a group of hooded assailants begin to terrorize them throughout the night.","['David Moreau', 'Xavier Palud', 'Olivia Bonamy', 'Michaël Cohen', 'Adriana Mocca', 'Maria Roman']",Xavier Palud
99,Mulholland Falls,1996,107 min,6.3,"Crime, Drama, Mystery","16,764","In 1950's Los Angeles, a special crime squad of the LAPD investigates the murder of a young woman.","['Lee Tamahori', 'Nick Nolte', 'Melanie Griffith', 'Jennifer Connelly', 'Chazz Palminteri']",Nick Nolte
100,Hache,2019–2021,50 min,6.5,"Crime, Drama, Thriller","1,475","Inspired by real events, Hache is the story of Helena, a woman catapulted to the heroin trafficking business in the Barcelona of the 60s.","['Adriana Ugarte', 'Eduardo Noriega', 'Marc Martínez', 'Pep Ambròs']",Eduardo Noriega
101,Kill the Irishman,2011,106 min,7.1,"Biography, Crime, Drama","47,492","The true story of Danny Greene, a tough Irish thug working for mobsters in Cleveland during the 1970's.","['Jonathan Hensleigh', 'Ray Stevenson', 'Christopher Walken', ""Vincent D'Onofrio"", 'Val Kilmer']",Ray Stevenson
102,Life as a House,2001,125 min,7.5,Drama,"43,676","When a man is diagnosed with terminal cancer, he takes custody of his misanthropic teenage son, for whom quality time means getting high, engaging in small-time prostitution, and avoiding his father.","['Irwin Winkler', 'Hayden Christensen', 'Kevin Kline', 'Kristin Scott Thomas', 'Jena Malone']",Hayden Christensen
103,Summer '03,2018,95 min,5.5,"Comedy, Drama, Romance","3,152",A 16-year-old girl and her extended family are left reeling after her calculating grandmother unveils an array of secrets on her deathbed.,"['Becca Gleason', 'Joey King', 'Paul Scheer', 'Andrea Savage', 'Jack Kilmer']",Joey King
104,Eden,III 2021– ,Not given,5.4,Drama,430,"It follows the disappearance of a young woman which triggers a devastating chain of events which lays bare the dark, hidden heart of paradise.","['Sophie Wilde', 'BeBe Bettencourt', 'Alexandria Steffensen', 'Keiynan Lonsdale']",BeBe Bettencourt
105,Missing Link,2019,93 min,6.7,"Animation, Adventure, Comedy","24,323","Mr. Link recruits explorer Sir Lionel Frost to help find his long-lost relatives in the fabled valley of Shangri-La. Along with adventurer Adelina Fortnight, this trio of explorers travel the world to help their new friend.","['Chris Butler', 'Hugh Jackman', 'David Walliams', 'Stephen Fry', 'Matt Lucas']",Hugh Jackman
106,Ink Master,2012– ,60 min,7.4,Reality-TV,"3,560","Ten of the country's most creative and skilled tattoo artists are judged by icons of the tattoo world. They compete for a hundred thousand dollars and the title of ""INK MASTER"".","['Dave Navarro', 'Chris Nunez', 'Oliver Peck', 'James Steinke']",Chris Nunez
107,Mona Lisa,1986,104 min,7.3,"Crime, Drama, Romance","15,851",A man recently released from prison manages to get a job driving a call girl from customer to customer.,"['Neil Jordan', 'Bob Hoskins', 'Cathy Tyson', 'Michael Caine', 'Robbie Coltrane']",Bob Hoskins
108,A Return to Salem's Lot,1987,101 min,4.3,"Comedy, Horror, Thriller","3,731",A man and his son vacation to the quiet vampire populated town of Salem's Lot.,"['Larry Cohen', 'Michael Moriarty', 'Samuel Fuller', 'Ricky Addison Reed', 'Andrew Duggan']",Michael Moriarty
109,The Greasy Strangler,2016,93 min,5.8,"Comedy, Horror","7,172","Ronnie runs a Disco walking tour with his son, Brayden. When a sexy woman takes the tour, it begins a competition between father and son for her love. It also signals the arrival of an oily strangler who stalks the streets at night.","['Jim Hosking', 'Michael St. Michaels', 'Sky Elobar', 'Elizabeth De Razzo', 'Gil Gex']",Michael St. Michaels
110,Enhanced,II 2019,99 min,4.7,"Action, Sci-Fi",637,"A young woman with enhanced abilities finds herself hunted down by a sinister government organization. But when an even stronger enhanced serial killer emerges on the scene, agents and mutants are forced to question their allegiances.","['James Mark', 'George Tchortov', 'Alanna Bale', 'Adrian Holmes', 'Chris Mark']",George Tchortov
111,Blood Feast,1963,67 min,5.1,Horror,"6,494",An Egyptian caterer kills various women in suburban Miami to use their body parts to revive a dormant Egyptian goddess while an inept police detective tries to track him down.,"['Herschell Gordon Lewis', 'William Kerwin', 'Mal Arnold', 'Connie Mason', 'Lyn Bolton']",William Kerwin
112,The Sure Thing,1985,100 min,7.0,"Comedy, Drama, Romance","20,160","Walter Gibson is a university freshman going through a dry spell. His old buddy arranges a ""sure thing"" for him in California. Gibson and his classmate Allison then take a long road trip out to Cali, and both foil each other's plans.","['Rob Reiner', 'John Cusack', 'Daphne Zuniga', 'Anthony Edwards', 'Boyd Gaines']",John Cusack
113,Oliver Twist,2005,130 min,6.8,"Crime, Drama","32,069","An adaptation of the classic Dickens tale, where an orphan meets a pickpocket on the streets of London. From there, he joins a household of boys who are trained to steal for their master.","['Roman Polanski', 'Barney Clark', 'Ben Kingsley', 'Jeremy Swift', 'Ian McNeice']",Barney Clark
114,Home Sweet Home,I 2020,84 min,4.9,"Comedy, Drama, Romance",577,"Bored with her social butterfly lifestyle, Victoria Tremont longs to find that special someone. Naturally, when a handsome stranger walks into the coffee shop where she works, she turns on ...                See full summary »","['See full summary', 'Juan Mas', 'Natasha Bure', 'Krista Kalmus', 'Ben Elliott Paez', 'Juli Erickson']",Juan Mas
115,The Legend of Hell House,1973,95 min,6.7,Horror,"12,628","A physicist, his wife and two mediums are hired to investigate the Belasco House, where 27 guests had inexplicably died in 1927, along with most of a team of paranormal investigators that was sent in the early 1950s.","['John Hough', 'Roddy McDowall', 'Gayle Hunnicutt', 'Pamela Franklin', 'Clive Revill']",Roddy McDowall
116,First Wives Club,2019– ,Not given,7.1,Comedy,561,TV adaptation of the 1996 comedy about about three divorced wives who share a common past.,"['Jill Scott', 'Michelle Buteau', 'RonReaco Lee', 'Mark Tallman']",Michelle Buteau
117,Holy Smoke,1999,115 min,5.9,"Comedy, Drama","14,450","Ruth's been brainwashed by a guru in Delhi, India. Her parents in Sydney hire a specialist in reversing this. Ruth is tricked to return to Australia and is isolated in an outback cabin with the specialist. It gets messy.","['Jane Campion', 'Kate Winslet', 'Harvey Keitel', 'Julie Hamilton', 'Sophie Lee']",Kate Winslet
118,Sleepwalker,II 2017,88 min,5.2,Thriller,969,"Troubled by bouts of sleepwalking and disturbing nightmares, graduate student Sarah Foster goes to her university sleep research center for help. But when she wakes up after her first night...                See full summary »","['See full summary', 'Elliott Lester', ""Ahna O'Reilly"", 'Richard Armitage', 'Izabella Scorupco', 'Rachel Melvin']",Elliott Lester
119,Sheng xia wei lai,2021,115 min,6.6,Drama,228,"Chen Chen, a high school student, finds the love affair of her mother just before the college entrance exam and gets depressed. After the unsuccessful exam, Chen gets acquainted with Zheng ...                See full summary »","['See full summary', 'Leste Chen', 'Zifeng Zhang', 'Lei Wu', 'Lei Hao', 'Feng Zu']",Leste Chen
120,Sin Senos Sí Hay Paraíso,2016–2018,44 min,6.8,"Action, Crime, Drama",503,A girl goes on to live difficult times when she chooses to step outside the path her parents had laid out for her.,"['Fabián Ríos', 'Carolina Gaitan', 'Majida Issa', 'Catherine Siachoque']",Carolina Gaitan
121,World Trigger,2014– ,Not given,7.5,"Animation, Action, Sci-Fi",646,"A gate to another dimension has burst open, and from it emerge gigantic invincible creatures that threaten all of humanity. Earth's only defense is a mysterious group of warriors who have ...                See full summary »","['See full summary', 'Yûki Kaji', 'Tomo Muranaka', 'Nao Tamura', 'Hideyuki Tanaka']",Yûki Kaji
122,The Pirates of Somalia,2017,116 min,6.8,"Biography, Drama","9,566","In 2008, rookie journalist Jay Bahadur forms a half-baked plan to embed himself with the pirates of Somalia. He ultimately succeeds in providing the first close-up look into who these men are, how they live, and the forces that drive them.","['Bryan Buckley', 'Al Pacino', 'Evan Peters', 'Melanie Griffith', 'Barkhad Abdi']",Al Pacino
123,Super Size Me,2004,100 min,7.2,Documentary,"105,730","While examining the influence of the fast food industry, Morgan Spurlock personally explores the consequences on his health of a diet of solely McDonald's food for one month.","['Morgan Spurlock', 'Morgan Spurlock', 'Morgan Spurlock', 'Daryl Isaacs', 'Chemeeka Walker', 'Dania Abu-Rmaileh']",Morgan Spurlock
124,Fear Factor,I 2001–2012,60 min,5.6,"Game-Show, Reality-TV, Thriller","6,582",Doing scary stuff to win prizes.,"['Joe Rogan', 'Meghan Allen', 'Meg Daleske', 'Monica Gonzales']",Meghan Allen
125,Bowfinger,1999,97 min,6.4,Comedy,"69,013","When a desperate movie producer fails to get a major star for his bargain basement film, he decides to shoot the film secretly around him.","['Frank Oz', 'Steve Martin', 'Eddie Murphy', 'Heather Graham', 'Christine Baranski']",Steve Martin
126,My Name Is Pauli Murray,2021,91 min,6.2,Documentary,237,"A look at the life and ideas of Pauli Murray, a non-binary Black lawyer, activist and poet who influenced both Ruth Bader Ginsburg and Thurgood Marshall.","['Julie Cohen', 'Betsy West', 'Patricia Bell-Scott', 'Pauli Murray', 'Dolores Chandler', 'Brittney Cooper']",Betsy West
127,Kinsey,2004,118 min,7.1,"Biography, Drama, Romance","48,503","A look at the life of Alfred Kinsey, a pioneer in the area of human sexuality research, whose 1948 publication ""Sexual Behavior in the Human Male"" was one of the first recorded works that saw science address sexual behavior.","['Bill Condon', 'Liam Neeson', 'Laura Linney', ""Chris O'Donnell"", 'Peter Sarsgaard']",Liam Neeson
128,Red Dead Redemption,2010 Video Game,Not given,9.4,"Action, Adventure, Crime","24,976",A former outlaw is forced by the federal government to hunt down the members of his old gang.,"['Rob Wiethoff', 'Josh Blaylock', 'Sophia Marzocchi', 'Spider Madison']",Josh Blaylock
129,Craig of the Creek,2018– ,30 min,7.3,"Animation, Short, Adventure","1,737","Craig of the Creek follows a young boy, Craig, and his two friends, Kelsey and JP, as they go on adventures within a world of untamed, kid-dominated wilderness in the creek.","['Philip Solomon', 'Michael Croner', 'Noël Wells', 'Ben Levin']",Michael Croner
130,The Real Housewives of Atlanta,2008– ,44 min,4.4,Reality-TV,"3,515","A reality television series focused on the personal and professional lives of several women residing in Atlanta, Georgia.","['Kandi Burruss', 'Cynthia Bailey', 'NeNe Leakes', 'Porsha Williams']",Cynthia Bailey
131,The Object of My Affection,1998,111 min,6.0,"Comedy, Drama, Romance","19,504","A pregnant New York City social worker begins to develop romantic feelings for her gay best friend, and decides she'd rather raise her child with him, much to the dismay of her overbearing boyfriend.","['Nicholas Hytner', 'Jennifer Aniston', 'Paul Rudd', 'Kali Rocha', 'Lena Cardwell']",Jennifer Aniston
132,Wonderland,2003,104 min,6.6,"Crime, Drama, Mystery","21,924","In the police investigation of a brutal crime scene, one man was at the center of it all: legendary porn star John Holmes.","['James Cox', 'Val Kilmer', 'Lisa Kudrow', 'Kate Bosworth', 'Christina Applegate']",Val Kilmer
133,My One & Only,2019 TV Movie,84 min,6.6,"Drama, Romance","1,021","The One,"" Stephanie (Hutton) and Oliver try to determine if they're fated to be together. Meanwhile, sparks fly between Stephanie and Alex (Page), the handsome ranch owner who acts as their guide.","['Gary Yates', 'Pascale Hutton', 'Sam Page', 'Stephen Huszar', 'Rhonda Dent']",Pascale Hutton
134,Boogeyman,2005,89 min,4.2,"Drama, Horror, Mystery","30,719",A young man tries to deal with the childhood terror that has never stopped haunting him.,"['Stephen Kay', 'Barry Watson', 'Emily Deschanel', 'Lucy Lawless', 'Skye McCole Bartusiak']",Barry Watson
135,El guardián invisible,2017,129 min,6.4,"Crime, Thriller","14,876",A female inspector confronts a serial killer while dealing with the ghosts of her past.,"['Fernando González Molina', 'Marta Etura', 'Elvira Mínguez', 'Nene', 'Francesc Orella']",Marta Etura
136,Safe,1995,119 min,7.2,Drama,"14,393",An affluent and unexceptional homemaker in the suburbs develops multiple chemical sensitivity.,"['Todd Haynes', 'Julianne Moore', 'Xander Berkeley', 'Dean Norris', 'Julie Burgess']",Julianne Moore
137,Hamilton,2020– ,44 min,6.8,"Action, Drama, Thriller","1,986","In the wake of a series of bombings and cyberattacks in Stockholm, agent Carl Hamilton soon finds himself on a life-threatening mission against an invisible enemy with traces leading to Russian, Swedish and US intelligence forces.","['Jakob Oftebro', 'Krister Henriksson', 'Peter Andersson', 'Annika Hallin']",Krister Henriksson
138,Les lèvres rouges,1971,87 min,6.6,Horror,"5,508","While passing through a vacation resort, a newlywed couple encounters a mysterious, strikingly beautiful countess and her aide.","['Harry Kümel', 'Delphine Seyrig', 'John Karlen', 'Danielle Ouimet', 'Andrea Rau']",Delphine Seyrig
139,Indiana Jones and the Sanctuary of the Black Order,2021,100 min,5.0,"Action, Adventure, Romance",62,"1938. A group of American archaeologists are taken prisoners in the Castle of Wewelsburg. Indiana Jones with Sallah and Husani will travel to the Nazi Vatican, to discover the last and the darkest plan of the Third Reich.","['Lluís Ortega', 'Lorena Abella', 'Núria Albesa', 'José Luis Rodríguez Aneas', 'Pablo Antonaya']",Lorena Abella
140,The Secret,2006 Video,90 min,5.6,Documentary,"13,059","Interviews with self-proclaimed authors, philosophers, scientists, with an in-depth discussion of visualizing your goals. The audience is shown how they can learn and use 'The Secret' in their everyday lives.","['Drew Heriot', 'Bob Proctor', 'Joe Vitale', 'John Assaraf', 'Loral Langemeier']",Bob Proctor
141,Tinker Bell,2008 Video,78 min,6.8,"Animation, Adventure, Family","12,904",Enter the land of Tinker Bell and her four best fairy friends.,"['Bradley Raymond', 'Mae Whitman', 'Kristin Chenoweth', 'Raven-Symoné', 'Lucy Liu']",Mae Whitman
142,Around the World in 80 Days,2021,82 min,5.3,"Animation, Adventure, Comedy",96,A bookish marmoset embarks on a wild adventure to travel around the planet in 80 days after accepting a challenge from a greedy frog.,"['Samuel Tourneux', 'Damien Frette', 'Julien Crampon', 'Kaycie Chase', 'Céline Ronté']",Damien Frette
143,Random Hearts,1999,133 min,5.2,"Drama, Mystery, Romance","20,797","Police Sergeant Dutch Van Den Broek (Harrison Ford) and U.S. Representative Kay Chandler (Dame Kristin Scott Thomas) lose their spouses in a plane crash, and they soon discover that their spouses were having an affair with each other.","['Sydney Pollack', 'Harrison Ford', 'Kristin Scott Thomas', 'Charles S. Dutton', 'Bonnie Hunt']",Harrison Ford
144,Wake in Fright,1971,109 min,7.6,"Drama, Thriller","11,594","After a bad gambling bet, a schoolteacher is marooned in a town full of crazy, drunk, violent men who threaten to make him just as crazy, drunk, and violent.","['Ted Kotcheff', 'Donald Pleasence', 'Gary Bond', 'Chips Rafferty', 'Sylvia Kay']",Donald Pleasence
145,Ain't Them Bodies Saints,2013,96 min,6.4,"Crime, Drama, Romance","21,341",The tale of an outlaw who escapes from prison and sets out across the Texas hills to reunite with his wife and the daughter he has never met.,"['David Lowery', 'Rooney Mara', 'Casey Affleck', 'Ben Foster', 'Nate Parker']",Rooney Mara
146,The Great Debaters,2007,126 min,7.5,"Biography, Drama, Romance","57,517","A drama based on the true story of Melvin B. Tolson, a professor at Wiley College Texas. In 1935, he inspired students to form the school's first debate team, which went on to challenge Harvard in the national championship.","['Denzel Washington', 'Denzel Washington', 'Forest Whitaker', 'Kimberly Elise', 'Nate Parker']",Denzel Washington
147,Unleashed,2005,103 min,7.0,"Action, Crime, Drama","100,950",A man enslaved by the mob since childhood and raised into behaving like a human attack dog escapes his captors and attempts to start a new life.,"['Louis Leterrier', 'Jet Li', 'Bob Hoskins', 'Morgan Freeman', 'Kerry Condon']",Jet Li
148,Rabbit Hole,2010,91 min,7.0,Drama,"48,576",Life for a happy couple is turned upside down after their young son dies in an accident.,"['John Cameron Mitchell', 'Nicole Kidman', 'Aaron Eckhart', 'Dianne Wiest', 'Miles Teller']",Nicole Kidman
149,The Secret World of Alex Mack,1994–1998,30 min,7.5,"Comedy, Drama, Family","4,931","Alexandra ""Alex"" Mack develops powerful abilities after a chemical factory accident. She struggles to balance her ordinary life with extraordinary misadventures as a result.","['Larisa Oleynik', 'Meredith Bishop', 'Darris Love', 'Michael Blakley']",Meredith Bishop
